TENEMENT_T,CADT_No,Deforested_in_1st_half_HRP,Deforested_in_2nd_half_HRP
EXPA,2,27.50455513,6.963497904
AMPSA,48,67.56574665,42.17748146
APSA,48,641.2744642,122.8091596
EP,48,0.370391239,0
EXPA,48,420.132392,105.0664455
MPSA,48,1261.388664,608.2312045
Coal,70,352.7137874,131.6253223
MPSA,70,36.99734953,8.234886447
APSA,78,248.5389476,56.03373394
EP,78,51.6174354,3.218509285
EXPA,78,905.1114474,249.2442465
MPSA,78,282.8732724,75.91035822
EXPA,79,212.0989182,122.601145
EXPA,89,25.82642393,5.467301075
APSA,92,9.561622727,4.574082509
EP,92,348.1801405,80.72871681
EXPA,92,167.5992797,67.36699058
MPSA,92,229.7803625,35.96330585
EXPA,93,1141.123162,312.4692797
EXPA,114,77.93532448,18.94986574
EXPA,115,126.8377581,63.64610523
EXPA,116,763.3730146,500.1864567
MPSA,116,41.07214924,11.39016513
EXPA,117,21.00367601,8.352396682
EXPA,118,196.600367,213.6728295
AMPSA,134,45.9115035,16.59514319
APSA,134,6.786232559,2.320852383
EP,134,90.43737377,41.57673984
EXPA,134,761.9741708,300.7880491
MPSA,134,26.85982947,6.465122025
APSA,136,190.1369151,64.24062593
EP,136,337.2100283,174.6237949
EXPA,136,627.4994829,342.8653025
MPSA,136,247.665443,73.92261714
EXPA,153,7.796885248,2.288754693
Coal,210,1213.401936,761.850131
APSA,223,1.561039556,0.086150097
Coal,223,941.0556182,296.4823657
EXPA,223,592.7823568,175.0547637
EP,237,12.40220817,2.188488909
EXPA,237,2.647114109,0.170806668
MPSA,237,383.9852734,33.49203059
AMPSA,238,20.282405,18.61066311
APSA,238,2.8917411,8.873375422
EP,238,517.3261626,189.9493952
EXPA,238,317.6273867,110.4972989
MPSA,238,2064.360443,1081.856049
-,246,188.5718415,48.19994183
APSA,246,446.2179341,73.38517447
EP,246,1.179524531,0.37344822
EXPA,246,477.6253463,129.3793928
EXPA,250,1201.121556,430.2628091
EXPA,252,923.1505959,431.9609283
MPSA,252,521.4872281,131.4097664
EP,253,318.9783226,52.68880295
EXPA,253,4.535533087,2.397883595
EP,254,76.09616813,60.66784021
EXPA,254,522.7658887,163.3906976
MPSA,254,10.70937771,21.75101769
EXPA,255,836.9852232,563.1130026
MPSA,255,18.13661864,4.599997674
EXPA,256,22.12800398,4.207556686
