TENEMENT_T,CADT_No,Built_up_area,Corn_field,Dipterocarp_forest__closed,Dipterocarp_forest__open,Fallow,Fishpond,Grassland,Mangrove_forest,Marsh,Open_barren_ground,Other_annual_crop,Palm,Perennial_fruit_crop,Plantation_forest__closed,Plantation_forest__open,Rice_paddy,Shrub_brush,Swamp_forest__closed,Swamp_forest__open,Water_body
EXPA,2,1,0,1348,28,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,1
AMPSA,48,2,0,3121,5,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,1
APSA,48,127,132,4299,370,112,4,64,6,0,37,2,175,31,737,279,119,303,15,11,88
EP,48,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXPA,48,40,26,8100,1143,3,0,9,0,0,13,0,2,2,181,23,4,363,0,0,3
MPSA,48,342,130,14807,832,11,3,262,4,14,2564,0,43,33,234,109,26,2306,4,14,204
Coal,70,1,0,110,231,11,0,2,0,0,0,0,1,0,1165,33,0,221,0,0,0
MPSA,70,0,0,20,7,2,0,2,0,0,0,0,0,0,32,2,0,48,0,0,0
APSA,78,27,3,1097,282,1,0,7,0,0,4,0,17,5,565,43,1,78,0,0,18
EP,78,1,0,370,105,0,0,1,0,0,0,0,0,0,2,0,0,20,0,0,0
EXPA,78,64,20,4942,414,54,0,23,1,1,1,0,93,58,2722,432,15,306,16,1,4
MPSA,78,13,0,1446,305,1,0,8,0,0,1,0,7,3,624,32,0,107,0,0,1
EXPA,79,6,0,3154,565,1,0,17,0,0,15,0,0,0,64,63,0,344,0,0,4
EXPA,89,18,350,6,0,21,0,3,7,5,1,0,26,5,228,53,269,16,13,23,85
APSA,92,1,0,148,11,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0
EP,92,12,0,2545,547,5,0,44,0,0,2,0,2,4,233,46,0,347,0,0,0
EXPA,92,19,0,1213,329,2,0,7,0,0,3,0,0,4,216,52,0,116,0,0,2
MPSA,92,2,0,887,598,0,0,52,0,0,13,0,0,10,296,47,0,234,0,0,2
EXPA,93,52,0,11848,1272,29,0,104,0,0,45,0,15,48,889,386,1,885,0,0,108
EXPA,114,7,2,4093,260,0,0,1,1,0,1,0,8,2,388,19,5,35,5,0,8
EXPA,115,14,0,4321,156,1,0,2,0,0,5,0,2,2,190,32,0,92,0,0,21
EXPA,116,99,163,15322,1382,12,0,17,7,22,51,1,89,55,1360,643,192,328,54,68,56
MPSA,116,4,0,1755,114,0,0,1,0,0,2,0,0,0,1,1,0,24,0,0,0
EXPA,117,0,0,888,60,0,0,0,0,0,0,0,0,0,41,14,0,16,0,0,0
EXPA,118,21,0,1074,617,2,0,14,0,0,2,0,0,0,134,37,0,257,0,0,34
AMPSA,134,5,0,2612,15,0,0,0,0,0,2,0,0,0,1,0,0,53,0,0,3
APSA,134,0,0,334,5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
