Agent,CADT_No,Buffer,Built_up_area,Corn_field,Dipterocarp_forest__closed,Dipterocarp_forest__open,Fallow,Fishpond,Grassland,Mangrove_forest,Marsh,Open_barren_ground,Other_annual_crop,Palm,Perennial_fruit_crop,Plantation_forest__closed,Plantation_forest__open,Rice_paddy,Shrub_brush,Swamp_forest__closed,Swamp_forest__open,Water_body
Road,2,0-100,5,0,454,23,0,0,1,0,0,0,0,0,0,2,0,0,14,0,0,0
Road,2,100-200,0,0,444,18,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0
Road,2,200-300,0,0,426,17,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0
Road,2,300-400,0,0,415,18,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
Road,2,400-500,0,0,393,23,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0
Road,2,500-600,0,0,380,20,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0
Road,2,600-700,0,0,361,21,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,1
Road,2,700-800,0,0,356,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Road,2,800-900,0,0,356,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Road,2,900-1000,0,0,355,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Road,48,0-100,248,147,1013,182,39,2,23,5,10,592,0,51,19,249,168,65,472,4,9,44
Road,48,100-200,62,64,1155,215,34,1,23,8,2,316,0,49,15,214,87,43,338,6,8,59
Road,48,200-300,43,33,1189,228,26,3,22,4,1,239,0,42,11,180,58,25,263,4,4,52
Road,48,300-400,29,21,1194,216,13,0,19,1,1,182,0,23,7,172,43,16,235,2,3,35
Road,48,400-500,21,13,1197,225,11,0,26,1,0,143,0,19,4,145,29,9,211,2,1,36
Road,48,500-600,24,15,1195,235,8,0,24,0,0,136,0,18,5,101,23,4,210,1,2,21
Road,48,600-700,21,10,1169,220,4,0,16,0,0,136,0,12,2,85,17,2,208,1,0,17
Road,48,700-800,17,5,1119,217,2,0,12,0,0,120,0,12,2,62,16,1,174,1,0,13
Road,48,800-900,12,3,1037,213,1,0,10,0,1,118,0,6,2,54,11,1,128,1,0,9
Road,48,900-1000,10,0,985,202,1,0,12,0,0,105,0,6,0,43,8,0,106,0,1,4
Road,70,0-100,163,5,103,68,56,0,29,3,0,0,1,13,6,2098,290,1,693,0,2,6
Road,70,100-200,6,2,140,124,35,0,18,2,0,0,1,8,2,1980,175,1,458,0,6,4
Road,70,200-300,4,1,110,116,24,0,10,1,0,0,0,6,2,1589,126,1,339,0,6,1
Road,70,300-400,2,1,111,93,13,0,6,1,0,0,0,8,1,1171,82,1,255,0,5,2
Road,70,400-500,2,1,80,66,8,0,4,1,0,0,1,7,1,847,57,1,186,1,4,3
Road,70,500-600,2,2,68,28,6,0,1,1,0,0,0,7,0,614,37,1,117,0,3,3
Road,70,600-700,3,1,48,17,5,0,1,1,0,0,0,6,0,431,22,1,75,0,3,2
Road,70,700-800,0,1,33,11,4,0,0,1,0,0,0,4,0,322,16,1,52,0,1,2
Road,70,800-900,0,0,24,8,2,0,0,1,0,0,1,2,0,279,10,0,36,1,3,2
Road,70,900-1000,0,0,25,5,2,0,0,1,0,0,0,4,0,228,10,0,26,0,2,1
Road,77,0-100,26,67,0,0,7,0,0,0,1,8,0,1,0,98,11,48,4,0,7,23
Road,77,100-200,1,62,0,0,14,0,0,1,2,5,0,2,0,88,10,65,8,1,22,16
Road,77,200-300,1,55,1,0,14,0,0,0,2,4,0,2,0,75,9,64,8,2,39,15
Road,77,300-400,1,41,0,0,13,0,0,1,3,5,0,1,0,66,10,70,7,1,53,15
Road,77,400-500,2,41,0,0,16,0,0,2,4,3,0,2,0,57,9,61,8,2,64,15
Road,77,500-600,1,46,0,0,12,0,0,2,5,4,0,2,0,36,6,59,8,4,79,18
Road,77,600-700,0,45,0,0,12,0,0,3,3,2,0,3,0,23,6,50,8,8,92,19
Road,77,700-800,0,44,0,0,11,0,0,4,2,3,1,4,0,22,8,39,9,13,94,20
Road,77,800-900,0,40,0,0,10,1,0,5,3,4,1,2,0,19,6,37,8,17,107,22
Road,77,900-1000,1,38,0,0,11,0,0,5,5,3,0,2,0,18,7,33,9,16,121,23
Road,78,0-100,135,9,1083,315,15,0,20,0,0,3,0,37,29,981,252,5,307,2,0,12
Road,78,100-200,7,5,1129,290,12,0,12,0,0,0,0,28,13,898,159,4,144,4,0,7
Road,78,200-300,5,5,1051,223,17,0,10,0,0,2,0,21,10,753,123,2,115,3,0,4
Road,78,300-400,4,3,948,166,13,0,6,0,0,1,0,19,10,684,90,2,90,2,0,5
Road,78,400-500,3,2,805,123,12,0,6,0,0,1,0,15,12,593,77,1,87,2,0,3
Road,78,500-600,2,1,688,85,15,0,6,0,0,0,0,12,11,487,65,1,83,1,0,1
Road,78,600-700,0,1,602,64,16,0,3,0,0,0,0,9,8,401,58,1,67,1,0,1
Road,78,700-800,0,0,530,49,14,0,3,0,0,0,0,6,7,317,51,1,58,1,0,0
Road,78,800-900,0,0,486,39,8,0,2,0,0,0,0,6,8,235,43,0,47,1,0,0
Road,78,900-1000,1,0,420,31,8,0,2,0,0,0,0,4,6,204,35,0,45,0,0,0
Road,79,0-100,16,0,522,190,2,0,16,0,0,16,0,0,2,74,106,0,221,0,0,12
Road,79,100-200,0,0,593,170,0,0,8,0,0,0,0,0,2,60,83,0,129,0,0,5
Road,79,200-300,0,0,584,147,0,0,4,0,0,0,0,0,0,58,77,0,99,0,0,7
Road,79,300-400,0,0,535,134,0,0,5,0,0,0,0,0,0,55,71,0,95,0,0,7
Road,79,400-500,0,0,502,124,0,0,3,0,0,0,0,0,0,54,60,0,73,0,0,8
Road,79,500-600,0,0,475,113,0,0,3,0,0,0,0,0,0,49,61,0,65,0,0,9
Road,79,600-700,0,0,480,104,0,0,2,0,0,0,0,0,0,48,52,0,66,0,0,4
Road,79,700-800,0,0,477,101,0,0,1,0,0,0,0,0,0,41,45,0,67,0,0,3
Road,79,800-900,0,0,466,105,0,0,1,0,0,0,0,0,0,38,40,0,54,0,0,3
Road,79,900-1000,0,0,433,108,0,0,1,0,0,0,0,0,0,40,38,0,55,0,0,4
Road,89,0-100,272,602,210,53,34,0,49,3,2,3,0,78,257,1150,1072,882,300,5,8,28
Road,89,100-200,8,372,215,58,26,0,34,2,5,2,0,69,170,1339,914,840,212,6,9,37
Road,89,200-300,1,289,227,58,19,0,27,3,2,3,0,79,153,1205,766,627,186,5,14,29
Road,89,300-400,2,221,196,50,11,0,19,2,1,3,0,61,127,1039,636,505,164,4,8,16
Road,89,400-500,2,192,177,45,14,0,17,1,1,2,0,48,102,868,523,404,147,3,6,13
Road,89,500-600,2,141,158,45,11,0,14,0,0,1,0,38,80,781,436,319,120,4,8,11
Road,89,600-700,1,97,155,46,7,0,10,0,0,0,0,32,59,651,380,236,97,10,7,11
Road,89,700-800,0,71,134,50,4,0,14,0,1,0,0,25,47,547,284,179,91,16,5,4
Road,89,800-900,0,51,105,33,4,0,13,0,1,0,0,22,45,440,232,121,86,21,8,3
Road,89,900-1000,0,41,99,26,6,0,11,0,1,1,0,15,34,364,192,89,70,21,7,3
Road,90,0-100,4,28,0,0,0,0,0,0,1,0,0,0,0,8,7,14,1,0,1,1
