FOR_NFOR,TENEMENT_T,CADT_No,Built_up_area,Corn_field,Dipterocarp_forest__closed,Dipterocarp_forest__open,Fallow,Fishpond,Grassland,Mangrove_forest,Marsh,Open_barren_ground,Other_annual_crop,Palm,Perennial_fruit_crop,Plantation_forest__closed,Plantation_forest__open,Rice_paddy,Shrub_brush,Swamp_forest__closed,Swamp_forest__open,Water_body
Deforested in 1st half HRP,EXPA,2,9.21E-02,0,22.80199193,2.070978417,0,0,6.17E-02,0,0,0.230603796,0,0,0,0,0,0,2.168311147,0,0,7.81E-02
Deforested in 2nd half HRP,EXPA,2,2.68E-04,0,4.695312706,0.604222124,0,0,6.62E-02,0,0,0.181024597,0,0,0,0,0,0,1.335084982,0,0,8.22E-02
Deforested in 1st half HRP,AMPSA,48,0.869229977,0,62.85096349,0.977346321,0,0,9.49E-02,0,0,1.251929068,0,0,0,0,0,0,0.993984177,0,0,0.526966202
Deforested in 1st half HRP,APSA,48,4.555863125,0.528569193,298.0008247,14.16149893,0.413591121,0,13.53860673,1.754123273,1.72E-02,0.273195086,0,44.61555603,14.10061725,96.56369199,69.69157788,0.875545386,73.51317957,4.229568526,0.429538863,4.012601418
Deforested in 1st half HRP,EP,48,0,0,0.370391239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deforested in 1st half HRP,EXPA,48,14.3139531,0,219.8435604,63.03197253,0.271496384,0,3.039073873,0,0,2.578956375,0,0.72886527,0.462745889,22.86452512,7.704406456,2.91E-02,83.0948187,0,0,2.168548906
Deforested in 1st half HRP,MPSA,48,51.40416293,0.194922126,460.2167658,139.8673348,0.631331603,0,21.88057279,0.195686684,2.35E-02,243.4836963,0,6.502673228,5.863856876,40.94517977,35.92456712,1.632620473,237.0525604,4.34E-02,1.334152746,14.18844815
Deforested in 2nd half HRP,AMPSA,48,0.484743287,0,38.61070021,0.753537106,0,0,0.241792208,0,0,0.923372365,0,0,0,2.46E-03,0,0,0.986494712,0,0,0.173824917
Deforested in 2nd half HRP,APSA,48,0.867894279,3.38E-02,58.20848979,7.022480132,4.60E-02,0,2.570673767,6.21E-02,1.84E-02,9.84E-03,0,3.482965712,1.555791689,13.93134813,16.22091322,8.57E-02,18.02862031,0.230877532,0.073108057,0.358688484
Deforested in 2nd half HRP,EXPA,48,2.680049584,0,55.2033968,9.372115361,3.51E-02,0,1.037766474,0,0,0.483140644,0,2.46E-03,0.388707326,4.130788815,1.232701237,4.33E-04,30.35982047,0,0,0.141678573
Deforested in 2nd half HRP,MPSA,48,5.405424644,0,360.4659771,41.11473574,3.73E-02,0,3.618151056,6.43E-02,0,132.5918418,0,0.260740798,0.453872992,5.828494085,7.549634219,0.28267333,46.67052726,0,1.51E-02,3.873556075
Deforested in 1st half HRP,Coal,70,0.121496597,0,16.96050086,14.86133176,2.982184927,0,1.290743771,1.21E-03,0,0,0,0.432777514,0.104206944,245.0262438,10.80163243,2.96E-02,59.9733139,0,0,0.121717319
Deforested in 1st half HRP,MPSA,70,0.020679929,0,8.957637698,2.40739026,0.557533576,0,0.415494627,0,0,0,0,0,0,8.345043956,0.860425497,0,15.43266421,0,0,0
Deforested in 2nd half HRP,Coal,70,0.328529633,0,3.100042487,6.791907117,4.986233942,0,0.594712911,3.03E-04,0,0,0,0.140695695,0.113295648,45.11172966,3.995828455,0,66.45103047,0,0,1.25E-02
Deforested in 2nd half HRP,MPSA,70,5.39E-02,0,2.510867483,0.142981688,9.12E-03,0,0,0,0,0,0,0,0,1.639361138,2.13E-02,0,3.85814698,0,0,0
Deforested in 1st half HRP,APSA,78,7.123090259,0.323655767,76.70554473,32.03807233,1.34E-02,9.87E-02,0.690895996,5.56E-02,0,2.334719858,0,5.992355026,0.601732044,85.18591235,9.802249341,4.52E-02,17.32646446,0,7.87E-02,7.547737997
Deforested in 1st half HRP,EP,78,6.84E-02,0,24.06400763,21.81849081,9.87E-03,0,0.1668635,0,0,0,0,0,0,0.276744041,9.76E-03,0,5.204729066,0,0,0
Deforested in 1st half HRP,EXPA,78,10.81574162,0.588553367,173.5581711,37.06849075,6.9210498,0,4.29193114,4.98E-02,2.96E-02,5.88E-02,0,17.06216648,20.12692487,426.3886134,116.9294881,1.270191063,85.95696698,2.316962288,0.413527877,1.263710082
Deforested in 1st half HRP,MPSA,78,1.448173499,0,126.2830792,31.56620142,0.347449172,0,2.023077123,4.55E-02,0,0.174690651,0,3.541696959,0.527877561,88.17058398,8.720455836,0,19.68659392,0,0,0.328000249
Deforested in 2nd half HRP,APSA,78,1.922726526,0,17.42374009,5.513636874,5.65E-03,0,1.270796107,9.88E-03,0,0.121075595,0,0.560647293,0.427388939,10.41369144,5.36403091,0.178647771,12.22848038,0,0,0.593178389
Deforested in 2nd half HRP,EP,78,0,0,1.284659247,0.954567762,0,0,0.115765309,0,0,0,0,0,0,0,2.07E-03,0,0.860856264,0,0,3.22E-04
Deforested in 2nd half HRP,EXPA,78,1.427325184,3.30E-02,43.45179444,8.743559187,2.436420306,0,3.260260528,1.17E-02,0,3.44E-02,0,5.470670373,6.327900607,85.62554824,45.76726858,0.332465607,45.3150358,0.910529529,2.92E-02,6.80E-02
Deforested in 2nd half HRP,MPSA,78,0.112877715,0,22.38694454,9.548429562,0.186548778,0,1.267083681,0,0,0,0,3.68E-02,0.242052986,18.6910485,4.833210963,0,18.60564067,0,0,7.00E-04
Deforested in 1st half HRP,EXPA,79,0.803444437,0,49.10481901,51.71457209,9.76E-03,0,3.10003906,0,0,1.078280955,0,0,4.60E-02,6.67154914,10.31993708,0,85.80525215,0,0,3.450241599
Deforested in 2nd half HRP,EXPA,79,0.829958876,0,25.1540334,29.13376945,0,0,0.416644734,0,0,1.334675711,0,0,4.91E-02,5.204768137,3.531303059,0,56.59136797,0,0,0.358687805
Deforested in 1st half HRP,EXPA,89,0.100947205,0.577543024,1.134315172,0,8.01E-02,0,7.02E-02,2.95E-02,0,0,0,0.391393582,0.520468243,13.52236916,7.602403145,0.285998168,0.512488071,0.442055345,0.55784342,0
Deforested in 2nd half HRP,EXPA,89,6.85E-02,2.60E-02,0.261570836,0,9.87E-03,0,5.10E-02,0,0,0,0,8.95E-03,0.174148581,2.950506892,1.545904313,0,0.233620756,3.28E-02,0.104472228,0
Deforested in 1st half HRP,APSA,92,0,0,5.733595237,2.436916883,1.39E-02,0,0.175051139,0,0,0,0,0,0,0,4.00E-02,0,1.161867009,0,0,0
Deforested in 1st half HRP,EP,92,0.680862184,0,148.8163027,59.97165077,0.032770822,0,6.234930004,0,0,0.131588311,0,0.465124317,0.563093491,22.10831641,8.381536546,0,100.7509772,0,0,3.99E-02
