"Tenement.Type","CADT.Number","Defo.1st.Half.HRP","Defo.2nd.Half.HRP","Defo.Full.HRP"
"EXPA",2,27.50455513,6.963497904,34.468053034
"AMPSA",48,67.56574665,42.17748146,109.74322811
"AMPSA",48,641.2744642,122.8091596,764.0836238
"EP",48,0.370391239,0,0.370391239
"EXPA",48,420.132392,105.0664455,525.1988375
"MPSA",48,1261.388664,608.2312045,1869.6198685
"COAL",70,352.7137874,131.6253223,484.3391097
"MPSA",70,36.99734953,8.234886447,45.232235977
"AMPSA",78,248.5389476,56.03373394,304.57268154
"EP",78,51.6174354,3.218509285,54.835944685
"EXPA",78,905.1114474,249.2442465,1154.3556939
"MPSA",78,282.8732724,75.91035822,358.78363062
"EXPA",79,212.0989182,122.601145,334.7000632
"EXPA",89,25.82642393,5.467301075,31.293725005
"AMPSA",92,9.561622727,4.574082509,14.135705236
"EP",92,348.1801405,80.72871681,428.90885731
"EXPA",92,167.5992797,67.36699058,234.96627028
"MPSA",92,229.7803625,35.96330585,265.74366835
"EXPA",93,1141.123162,312.4692797,1453.5924417
"EXPA",114,77.93532448,18.94986574,96.88519022
"EXPA",115,126.8377581,63.64610523,190.48386333
"EXPA",116,763.3730146,500.1864567,1263.5594713
"MPSA",116,41.07214924,11.39016513,52.46231437
"EXPA",117,21.00367601,8.352396682,29.356072692
"EXPA",118,196.600367,213.6728295,410.2731965
"AMPSA",134,45.9115035,16.59514319,62.50664669
"AMPSA",134,6.786232559,2.320852383,9.107084942
"EP",134,90.43737377,41.57673984,132.01411361
"EXPA",134,761.9741708,300.7880491,1062.7622199
"MPSA",134,26.85982947,6.465122025,33.324951495
"AMPSA",136,190.1369151,64.24062593,254.37754103
"EP",136,337.2100283,174.6237949,511.8338232
"EXPA",136,627.4994829,342.8653025,970.3647854
"MPSA",136,247.665443,73.92261714,321.58806014
"EXPA",153,7.796885248,2.288754693,10.085639941
"COAL",210,1213.401936,761.850131,1975.252067
"AMPSA",223,1.561039556,0.086150097,1.647189653
"COAL",223,941.0556182,296.4823657,1237.5379839
"EXPA",223,592.7823568,175.0547637,767.8371205
"EP",237,12.40220817,2.188488909,14.590697079
"EXPA",237,2.647114109,0.170806668,2.817920777
"MPSA",237,383.9852734,33.49203059,417.47730399
"AMPSA",238,20.282405,18.61066311,38.89306811
"AMPSA",238,2.8917411,8.873375422,11.765116522
"EP",238,517.3261626,189.9493952,707.2755578
"EXPA",238,317.6273867,110.4972989,428.1246856
"MPSA",238,2064.360443,1081.856049,3146.216492
"UNKNOWN",246,188.5718415,48.19994183,236.77178333
"AMPSA",246,446.2179341,73.38517447,519.60310857
"EP",246,1.179524531,0.37344822,1.552972751
"EXPA",246,477.6253463,129.3793928,607.0047391
"EXPA",250,1201.121556,430.2628091,1631.3843651
"EXPA",252,923.1505959,431.9609283,1355.1115242
"MPSA",252,521.4872281,131.4097664,652.8969945
"EP",253,318.9783226,52.68880295,371.66712555
"EXPA",253,4.535533087,2.397883595,6.933416682
"EP",254,76.09616813,60.66784021,136.76400834
"EXPA",254,522.7658887,163.3906976,686.1565863
"MPSA",254,10.70937771,21.75101769,32.4603954
"EXPA",255,836.9852232,563.1130026,1400.0982258
"MPSA",255,18.13661864,4.599997674,22.736616314
"EXPA",256,22.12800398,4.207556686,26.335560666
