"MiningType","CADT","HalfHRP","DefoAreaHa"
"EXPA",2,"2013-2018",27.50455513
"AMPSA",48,"2013-2018",67.56574665
"AMPSA",48,"2013-2018",641.2744642
"EP",48,"2013-2018",0.370391239
"EXPA",48,"2013-2018",420.132392
"MPSA",48,"2013-2018",1261.388664
"COAL",70,"2013-2018",352.7137874
"MPSA",70,"2013-2018",36.99734953
"AMPSA",78,"2013-2018",248.5389476
"EP",78,"2013-2018",51.6174354
"EXPA",78,"2013-2018",905.1114474
"MPSA",78,"2013-2018",282.8732724
"EXPA",79,"2013-2018",212.0989182
"EXPA",89,"2013-2018",25.82642393
"AMPSA",92,"2013-2018",9.561622727
"EP",92,"2013-2018",348.1801405
"EXPA",92,"2013-2018",167.5992797
"MPSA",92,"2013-2018",229.7803625
"EXPA",93,"2013-2018",1141.123162
"EXPA",114,"2013-2018",77.93532448
"EXPA",115,"2013-2018",126.8377581
"EXPA",116,"2013-2018",763.3730146
"MPSA",116,"2013-2018",41.07214924
"EXPA",117,"2013-2018",21.00367601
"EXPA",118,"2013-2018",196.600367
"AMPSA",134,"2013-2018",45.9115035
"AMPSA",134,"2013-2018",6.786232559
"EP",134,"2013-2018",90.43737377
"EXPA",134,"2013-2018",761.9741708
"MPSA",134,"2013-2018",26.85982947
"AMPSA",136,"2013-2018",190.1369151
"EP",136,"2013-2018",337.2100283
"EXPA",136,"2013-2018",627.4994829
"MPSA",136,"2013-2018",247.665443
"EXPA",153,"2013-2018",7.796885248
"COAL",210,"2013-2018",1213.401936
"AMPSA",223,"2013-2018",1.561039556
"COAL",223,"2013-2018",941.0556182
"EXPA",223,"2013-2018",592.7823568
"EP",237,"2013-2018",12.40220817
"EXPA",237,"2013-2018",2.647114109
"MPSA",237,"2013-2018",383.9852734
"AMPSA",238,"2013-2018",20.282405
"AMPSA",238,"2013-2018",2.8917411
"EP",238,"2013-2018",517.3261626
"EXPA",238,"2013-2018",317.6273867
"MPSA",238,"2013-2018",2064.360443
"UNKNOWN",246,"2013-2018",188.5718415
"AMPSA",246,"2013-2018",446.2179341
"EP",246,"2013-2018",1.179524531
"EXPA",246,"2013-2018",477.6253463
"EXPA",250,"2013-2018",1201.121556
"EXPA",252,"2013-2018",923.1505959
"MPSA",252,"2013-2018",521.4872281
"EP",253,"2013-2018",318.9783226
"EXPA",253,"2013-2018",4.535533087
"EP",254,"2013-2018",76.09616813
"EXPA",254,"2013-2018",522.7658887
"MPSA",254,"2013-2018",10.70937771
"EXPA",255,"2013-2018",836.9852232
"MPSA",255,"2013-2018",18.13661864
"EXPA",256,"2013-2018",22.12800398
"EXPA",2,"2018-2022",6.963497904
"AMPSA",48,"2018-2022",42.17748146
"AMPSA",48,"2018-2022",122.8091596
"EP",48,"2018-2022",0
"EXPA",48,"2018-2022",105.0664455
"MPSA",48,"2018-2022",608.2312045
"COAL",70,"2018-2022",131.6253223
"MPSA",70,"2018-2022",8.234886447
"AMPSA",78,"2018-2022",56.03373394
"EP",78,"2018-2022",3.218509285
"EXPA",78,"2018-2022",249.2442465
"MPSA",78,"2018-2022",75.91035822
"EXPA",79,"2018-2022",122.601145
"EXPA",89,"2018-2022",5.467301075
"AMPSA",92,"2018-2022",4.574082509
"EP",92,"2018-2022",80.72871681
"EXPA",92,"2018-2022",67.36699058
"MPSA",92,"2018-2022",35.96330585
"EXPA",93,"2018-2022",312.4692797
"EXPA",114,"2018-2022",18.94986574
"EXPA",115,"2018-2022",63.64610523
"EXPA",116,"2018-2022",500.1864567
"MPSA",116,"2018-2022",11.39016513
"EXPA",117,"2018-2022",8.352396682
"EXPA",118,"2018-2022",213.6728295
"AMPSA",134,"2018-2022",16.59514319
"AMPSA",134,"2018-2022",2.320852383
"EP",134,"2018-2022",41.57673984
"EXPA",134,"2018-2022",300.7880491
"MPSA",134,"2018-2022",6.465122025
"AMPSA",136,"2018-2022",64.24062593
"EP",136,"2018-2022",174.6237949
"EXPA",136,"2018-2022",342.8653025
"MPSA",136,"2018-2022",73.92261714
"EXPA",153,"2018-2022",2.288754693
"COAL",210,"2018-2022",761.850131
"AMPSA",223,"2018-2022",0.086150097
"COAL",223,"2018-2022",296.4823657
"EXPA",223,"2018-2022",175.0547637
"EP",237,"2018-2022",2.188488909
"EXPA",237,"2018-2022",0.170806668
"MPSA",237,"2018-2022",33.49203059
"AMPSA",238,"2018-2022",18.61066311
"AMPSA",238,"2018-2022",8.873375422
"EP",238,"2018-2022",189.9493952
"EXPA",238,"2018-2022",110.4972989
"MPSA",238,"2018-2022",1081.856049
"UNKNOWN",246,"2018-2022",48.19994183
"AMPSA",246,"2018-2022",73.38517447
"EP",246,"2018-2022",0.37344822
"EXPA",246,"2018-2022",129.3793928
"EXPA",250,"2018-2022",430.2628091
"EXPA",252,"2018-2022",431.9609283
"MPSA",252,"2018-2022",131.4097664
"EP",253,"2018-2022",52.68880295
"EXPA",253,"2018-2022",2.397883595
"EP",254,"2018-2022",60.66784021
"EXPA",254,"2018-2022",163.3906976
"MPSA",254,"2018-2022",21.75101769
"EXPA",255,"2018-2022",563.1130026
"MPSA",255,"2018-2022",4.599997674
"EXPA",256,"2018-2022",4.207556686
